code,state,n,n_displaced,export_rate,n_don,log_don,median_dist_km,poverty_pct,gdp_usd,z_log_don,z_dist,z_poverty,z_gdp
1.0,AGUASCALIENTES,11,11,100.0,24.0,3.2188758248682006,486.5617,22.2,9908.57142857143,0.08054175580417876,-0.3299822564751655,-0.9406335180636831,0.3016858019563064
2.0,BAJA CALIFORNIA,55,47,85.45454545454545,28.0,3.367295829986474,2837.0544,17.7,13617.142857142857,0.20920096020503298,2.416506890989043,-1.2460644066113584,1.601005819947069
3.0,BAJA CALIFORNIA SUR,7,7,100.0,22.0,3.1354942159291497,3622.8709,16.8,12902.857142857143,0.0082616648608277,3.3347128863313418,-1.3071505843208933,1.3507515791938405
4.0,CAMPECHE,5,5,100.0,0.0,0.0,1104.4421,43.0,12508.57142857143,-2.7097694449174896,0.3919948051982633,0.4711359223344606,1.2126112382980585
5.0,COAHUILA,55,54,98.18181818181819,41.0,3.7376696182833684,268.8726,20.9,13405.714285714286,0.5302627799727638,-0.584346267336059,-1.028869108088567,1.5269305646841136
6.0,COLIMA,18,18,100.0,8.0,2.1972245773362196,206.1136,32.8,9308.57142857143,-0.805085734761251,-0.6576785148285553,-0.22117409170693694,0.09147223972359439
7.0,CHIAPAS,15,15,100.0,3.0,1.3862943611198906,873.9490999999999,75.5,4314.285714285715,-1.508047821037045,0.12266977259277258,2.6770256729565602,-1.65830541162298
8.0,CHIHUAHUA,34,25,73.52941176470588,37.0,3.6375861597263857,1163.6726,27.3,12428.57142857143,0.4435045418136554,0.46120409287181324,-0.5944785110429843,1.184582763333697
10.0,DURANGO,25,25,100.0,21.0,3.091042453358316,621.3269,39.7,8360.0,-0.030271741751182853,-0.172512650525807,0.24715327073283225,-0.24086539199669346
11.0,GUANAJUATO,60,50,83.33333333333334,112.0,4.727387818712341,278.1341,24.5,9840.0,1.3882088240169237,-0.57352444719629,-0.7845243972504268,0.2776613948439962
12.0,GUERRERO,26,26,100.0,18.0,2.9444389791664403,279.9119,59.7,5451.428571428572,-0.15735627012656705,-0.5714471344667666,1.604623886500278,-1.2599006603438403
13.0,HIDALGO,19,19,100.0,19.0,2.995732273553991,92.1688,45.3,6142.857142857143,-0.1128922206762107,-0.7908200287800685,0.6272450431477167,-1.017654555294715
15.0,ESTADO DE MÃXICO,249,237,95.18072289156626,177.0,5.181783550292085,85.6674,35.0,8845.714285714286,1.7821058142616444,-0.7984167443722181,-0.07185232397251771,-0.07069250828449783
16.0,MICHOACÃN,36,36,100.0,58.0,4.07753744390572,433.3288,47.5,6245.714285714285,0.8248802340765722,-0.3921835056592397,0.776566810882136,-0.9816179446262502
17.0,MORELOS,32,31,96.875,21.0,3.091042453358316,127.1244,26.0,8485.714285714286,-0.030271741751182853,-0.7499753258617825,-0.6827141010678683,-0.19682064562412505
18.0,NAYARIT,12,12,100.0,6.0,1.9459101490553132,236.8703,36.6,6360.0,-1.022939887045578,-0.621740116567709,0.03674532528887805,-0.9415772661057336
20.0,OAXACA,19,19,100.0,5.0,1.791759469228055,459.2263,67.7,4560.0,-1.156566777899148,-0.3619229553089007,2.1476121328072564,-1.5722179528038696
21.0,PUEBLA,44,44,100.0,53.0,3.9889840465642745,165.5086,49.0,5942.857142857143,0.7481169322570905,-0.7051243936576129,0.8783771070646944,-1.0877257427056188
22.0,QUERÃTARO,36,30,83.33333333333334,56.0,4.04305126783455,208.1225,20.1,11342.857142857143,0.7949855849515524,-0.6553311678028271,-1.0831679327192647,0.8041963173887893
23.0,QUINTANA ROO,15,15,100.0,6.0,1.9459101490553132,1397.3266999999998,28.2,10605.714285714286,-1.022939887045578,0.7342227880205011,-0.5333923333334494,0.5459339409314574
24.0,SAN LUIS POTOSÃ,26,16,61.53846153846154,134.0,4.90527477843843,402.9609,40.3,8525.714285714286,1.5424117206777024,-0.42766760130492215,0.28787738920585526,-0.18280640814194424
25.0,SINALOA,36,24,66.66666666666666,49.0,3.912023005428146,699.3317,21.9,11668.57142857143,0.6814025677444012,-0.08136608510566512,-0.9609955773001948,0.9183122511722617
26.0,SONORA,27,16,59.25925925925925,96.0,4.574710978503383,1845.1795,26.5,13588.57142857143,1.2558595441737688,1.2575270530630853,-0.6487773356736822,1.5909956503169402
27.0,TABASCO,14,14,100.0,4.0,1.6094379124341003,1239.6583999999998,49.1,7439.999999999999,-1.3146138445566553,0.5499915096808019,0.8851644601435317,-0.5631928540868522
28.0,TAMAULIPAS,44,44,100.0,15.0,2.772588722239781,262.6545,29.1,11274.285714285714,-0.30632619715660014,-0.5916119542994123,-0.47230615562391415,0.780171910276479
29.0,TLAXCALA,8,8,100.0,10.0,2.3978952727983707,124.6189,23.6,6440.0,-0.6311325536914053,-0.7529029369787927,-0.8456105749599617,-0.9135487911413719
30.0,VERACRUZ,50,48,96.0,27.0,3.332204510175204,383.0559,41.8,6800.0,0.17878173683486678,-0.4509260723821882,0.3896876853884137,-0.7874206538017448
31.0,YUCATÃN,20,17,85.0,31.0,3.4657359027997265,1921.8159,36.3,9068.57142857143,0.2945346147836223,1.3470746789292392,0.016383266052366074,0.007386814830509588
32.0,ZACATECAS,24,24,100.0,23.0,3.1780538303479458,472.4903,41.6,6994.285714285715,0.04515484598129686,-0.34642431876688323,0.3761129792307395,-0.7193515003168663
